year_month,row_id,agent_code,agent_age,agent_join_month,first_policy_sold_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies,new_policy_count_lag1,new_policy_count_lag2,new_policy_count_lag3,latest_policy_count,unique_proposals_week_4,unique_proposals_week_3,unique_proposals_week_2,unique_proposals_week_1,unique_quotations_week_4,unique_quotations_week_3,unique_quotations_week_2,unique_quotations_week_1,unique_customers_week_4,unique_customers_week_3,unique_customers_week_2,unique_customers_week_1
2023-01-01,9.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,2.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,327407.0,5.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,-2.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,4.0
2023-02-01,959.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,2.0,20.0,30.0,0.0,2.0,6.0,14.0,2.0,5.0,12.0,19.0,31.0,2408297.0,408662.0,57.0,217.0,0.0,0.0,0.0,27.0,3.0,-1.0,18.0,10.0,0.0,2.0,4.0,8.0,2.0,3.0,7.0,7.0
2023-03-01,1762.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,2.0,19.0,23.0,2.0,1.0,7.0,19.0,4.0,5.0,11.0,20.0,27.0,1901097.0,287226.0,20.0,243.0,31.0,0.0,0.0,22.0,0.0,2.0,17.0,4.0,2.0,-1.0,6.0,12.0,4.0,1.0,6.0,9.0
2023-04-01,2578.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,2.0,6.0,11.0,21.0,3.0,5.0,7.0,19.0,4.0,9.0,7.0,20.0,22.0,1635788.0,381203.0,60.0,176.0,27.0,31.0,0.0,20.0,2.0,4.0,5.0,10.0,3.0,2.0,2.0,12.0,4.0,5.0,-2.0,13.0
2023-05-01,2709.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,3.0,7.0,15.0,4.0,4.0,5.0,14.0,4.0,6.0,8.0,18.0,20.0,1876640.0,471548.0,0.0,180.0,22.0,27.0,31.0,0.0,3.0,0.0,4.0,8.0,4.0,0.0,1.0,9.0,4.0,2.0,2.0,10.0
2023-06-01,3979.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,3.0,4.0,12.0,2.0,4.0,8.0,15.0,2.0,4.0,13.0,19.0,0.0,0.0,44510.0,38.0,0.0,20.0,22.0,27.0,14.0,0.0,3.0,1.0,8.0,2.0,2.0,4.0,7.0,2.0,2.0,9.0,6.0
2023-07-01,4705.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,0.0,2.0,10.0,3.0,0.0,4.0,8.0,3.0,2.0,6.0,11.0,14.0,114828.0,26501.0,33.0,126.0,0.0,20.0,22.0,26.0,3.0,-3.0,2.0,8.0,3.0,-3.0,4.0,4.0,3.0,-1.0,4.0,5.0
2023-08-01,5259.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,5.0,9.0,18.0,2.0,3.0,7.0,15.0,2.0,6.0,8.0,16.0,26.0,2310698.0,282573.0,32.0,0.0,14.0,0.0,20.0,35.0,3.0,2.0,4.0,9.0,2.0,1.0,4.0,8.0,2.0,4.0,2.0,8.0
2023-09-01,6040.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,2.0,6.0,14.0,26.0,1.0,5.0,6.0,16.0,1.0,7.0,8.0,16.0,35.0,2413530.0,403629.0,0.0,140.0,26.0,14.0,0.0,35.0,2.0,4.0,8.0,12.0,1.0,4.0,1.0,10.0,1.0,6.0,1.0,8.0
2023-10-01,6636.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,2.0,20.0,28.0,0.0,1.0,7.0,24.0,2.0,2.0,11.0,15.0,35.0,2186835.0,561881.0,45.0,0.0,35.0,26.0,14.0,21.0,3.0,-1.0,18.0,8.0,0.0,1.0,6.0,17.0,2.0,0.0,9.0,4.0
2023-11-01,7418.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,1.0,0.0,11.0,13.0,3.0,4.0,0.0,11.0,3.0,6.0,3.0,12.0,21.0,257922.0,72716.0,48.0,63.0,35.0,35.0,26.0,30.0,1.0,-1.0,11.0,2.0,3.0,1.0,-4.0,11.0,3.0,3.0,-3.0,9.0
2023-12-01,7774.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,5.0,19.0,29.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,2.0,30.0,601050.0,140149.0,4.0,270.0,21.0,35.0,35.0,18.0,0.0,5.0,14.0,10.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,1.0
